ID,Code,Category
1,U+1F600,Smileys & Emotion
2,U+1F603,Smileys & Emotion
3,U+1F604,Smileys & Emotion
4,U+1F601,Smileys & Emotion
5,U+1F606,Smileys & Emotion
6,U+1F605,Smileys & Emotion
7,U+1F923,Smileys & Emotion
8,U+1F602,Smileys & Emotion
9,U+1F642,Smileys & Emotion
10,U+1F643,Smileys & Emotion
11,U+1FAE0,Smileys & Emotion
12,U+1F609,Smileys & Emotion
13,U+1F60A,Smileys & Emotion
14,U+1F607,Smileys & Emotion
15,U+1F970,Smileys & Emotion
16,U+1F60D,Smileys & Emotion
17,U+1F929,Smileys & Emotion
18,U+1F618,Smileys & Emotion
19,U+1F617,Smileys & Emotion
20,U+263A,Smileys & Emotion
21,U+1F61A,Smileys & Emotion
22,U+1F619,Smileys & Emotion
23,U+1F972,Smileys & Emotion
24,U+1F60B,Smileys & Emotion
25,U+1F61B,Smileys & Emotion
26,U+1F61C,Smileys & Emotion
27,U+1F92A,Smileys & Emotion
28,U+1F61D,Smileys & Emotion
29,U+1F911,Smileys & Emotion
30,U+1F917,Smileys & Emotion
31,U+1F92D,Smileys & Emotion
32,U+1FAE2,Smileys & Emotion
33,U+1FAE3,Smileys & Emotion
34,U+1F92B,Smileys & Emotion
35,U+1F914,Smileys & Emotion
36,U+1FAE1,Smileys & Emotion
37,U+1F910,Smileys & Emotion
38,U+1F928,Smileys & Emotion
39,U+1F610,Smileys & Emotion
40,U+1F611,Smileys & Emotion
41,U+1F636,Smileys & Emotion
42,U+1FAE5,Smileys & Emotion
43,U+1F636 U+200D U+1F32B U+FE0F,Smileys & Emotion
44,U+1F60F,Smileys & Emotion
45,U+1F612,Smileys & Emotion
46,U+1F644,Smileys & Emotion
47,U+1F62C,Smileys & Emotion
48,U+1F62E U+200D U+1F4A8,Smileys & Emotion
49,U+1F925,Smileys & Emotion
50,U+1F60C,Smileys & Emotion
51,U+1F614,Smileys & Emotion
52,U+1F62A,Smileys & Emotion
53,U+1F924,Smileys & Emotion
54,U+1F634,Smileys & Emotion
55,U+1F637,Smileys & Emotion
56,U+1F912,Smileys & Emotion
57,U+1F915,Smileys & Emotion
58,U+1F922,Smileys & Emotion
59,U+1F92E,Smileys & Emotion
60,U+1F927,Smileys & Emotion
61,U+1F975,Smileys & Emotion
62,U+1F976,Smileys & Emotion
63,U+1F974,Smileys & Emotion
64,U+1F635,Smileys & Emotion
65,U+1F635 U+200D U+1F4AB,Smileys & Emotion
66,U+1F92F,Smileys & Emotion
67,U+1F920,Smileys & Emotion
68,U+1F973,Smileys & Emotion
69,U+1F978,Smileys & Emotion
70,U+1F60E,Smileys & Emotion
71,U+1F913,Smileys & Emotion
72,U+1F9D0,Smileys & Emotion
73,U+1F615,Smileys & Emotion
74,U+1FAE4,Smileys & Emotion
75,U+1F61F,Smileys & Emotion
76,U+1F641,Smileys & Emotion
77,U+2639,Smileys & Emotion
78,U+1F62E,Smileys & Emotion
79,U+1F62F,Smileys & Emotion
80,U+1F632,Smileys & Emotion
81,U+1F633,Smileys & Emotion
82,U+1F97A,Smileys & Emotion
83,U+1F979,Smileys & Emotion
84,U+1F626,Smileys & Emotion
85,U+1F627,Smileys & Emotion
86,U+1F628,Smileys & Emotion
87,U+1F630,Smileys & Emotion
88,U+1F625,Smileys & Emotion
89,U+1F622,Smileys & Emotion
90,U+1F62D,Smileys & Emotion
91,U+1F631,Smileys & Emotion
92,U+1F616,Smileys & Emotion
93,U+1F623,Smileys & Emotion
94,U+1F61E,Smileys & Emotion
95,U+1F613,Smileys & Emotion
96,U+1F629,Smileys & Emotion
97,U+1F62B,Smileys & Emotion
98,U+1F971,Smileys & Emotion
99,U+1F624,Smileys & Emotion
100,U+1F621,Smileys & Emotion
101,U+1F620,Smileys & Emotion
102,U+1F92C,Smileys & Emotion
103,U+1F608,Smileys & Emotion
104,U+1F47F,Smileys & Emotion
105,U+1F480,Smileys & Emotion
106,U+2620,Smileys & Emotion
107,U+1F4A9,Smileys & Emotion
108,U+1F921,Smileys & Emotion
109,U+1F479,Smileys & Emotion
110,U+1F47A,Smileys & Emotion
111,U+1F47B,Smileys & Emotion
112,U+1F47D,Smileys & Emotion
113,U+1F47E,Smileys & Emotion
114,U+1F916,Smileys & Emotion
115,U+1F63A,Smileys & Emotion
116,U+1F638,Smileys & Emotion
117,U+1F639,Smileys & Emotion
118,U+1F63B,Smileys & Emotion
119,U+1F63C,Smileys & Emotion
120,U+1F63D,Smileys & Emotion
121,U+1F640,Smileys & Emotion
122,U+1F63F,Smileys & Emotion
123,U+1F63E,Smileys & Emotion
124,U+1F648,Smileys & Emotion
125,U+1F649,Smileys & Emotion
126,U+1F64A,Smileys & Emotion
127,U+1F48B,Smileys & Emotion
128,U+1F48C,Smileys & Emotion
129,U+1F498,Smileys & Emotion
130,U+1F49D,Smileys & Emotion
131,U+1F496,Smileys & Emotion
132,U+1F497,Smileys & Emotion
133,U+1F493,Smileys & Emotion
134,U+1F49E,Smileys & Emotion
135,U+1F495,Smileys & Emotion
136,U+1F49F,Smileys & Emotion
137,U+2763,Smileys & Emotion
138,U+1F494,Smileys & Emotion
139,U+2764 U+FE0F U+200D U+1F525,Smileys & Emotion
140,U+2764 U+FE0F U+200D U+1FA79,Smileys & Emotion
141,U+2764,Smileys & Emotion
142,U+1F9E1,Smileys & Emotion
143,U+1F49B,Smileys & Emotion
144,U+1F49A,Smileys & Emotion
145,U+1F499,Smileys & Emotion
146,U+1F49C,Smileys & Emotion
147,U+1F90E,Smileys & Emotion
148,U+1F5A4,Smileys & Emotion
149,U+1F90D,Smileys & Emotion
150,U+1F4AF,Smileys & Emotion
151,U+1F4A2,Smileys & Emotion
152,U+1F4A5,Smileys & Emotion
